Molecule ChEMBL ID,Molecule Name,Molecular Weight,#RO5 Violations,AlogP,Smiles,IC50
CHEMBL4575227,,455.47,0,2.53,NC(=O)c1cccc2c1O/C(=C\c1ccc(C(=O)N3CCn4c(nnc4C4CC4)C3)cc1)C2=O,1.9
CHEMBL4584534,,298.32,0,3.06,CNCc1ccc(-c2cc3cc(F)cc(C(N)=O)c3o2)cc1,1.9
CHEMBL3891329,,225.25,0,1.95,O=C1NN=C2CCCc3[nH]c4cccc1c4c32,1.9
CHEMBL3891329,,225.25,0,1.95,O=C1NN=C2CCCc3[nH]c4cccc1c4c32,1.9
CHEMBL4575227,,455.47,0,2.53,NC(=O)c1cccc2c1O/C(=C\c1ccc(C(=O)N3CCn4c(nnc4C4CC4)C3)cc1)C2=O,1.905
CHEMBL4519178,,483.41,0,2.67,NC(=O)c1cccc2c1O/C(=C\c1ccc(C(=O)N3CCn4c(nnc4C(F)(F)F)C3)cc1)C2=O,2
CHEMBL4454914,,333.31,0,1.58,NC(=O)c1cccc2c1O/C(=C\c1ccc(-c3nn[nH]n3)cc1)C2=O,2.042
CHEMBL4454914,,333.31,0,1.58,NC(=O)c1cccc2c1O/C(=C\c1ccc(-c3nn[nH]n3)cc1)C2=O,2.1
CHEMBL1094636,NIRAPARIB,320.4,0,2.59,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,2.1
CHEMBL1094636,NIRAPARIB,320.4,0,2.59,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,2.1
CHEMBL1094636,NIRAPARIB,320.4,0,2.59,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,2.1
CHEMBL521686,OLAPARIB,434.47,0,2.35,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,2.26
CHEMBL5093731,,466.51,0,2.21,CC(C)C(=O)N1CCN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)C[C@@H]1C,2.34
CHEMBL4078014,,541.58,1,3.13,O=C(/C=C/c1ccc(CN2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)CC2)cc1)NO,2.53
CHEMBL4078014,,541.58,1,3.13,O=C(/C=C/c1ccc(CN2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)CC2)cc1)NO,2.53
CHEMBL4753410,,447.49,0,3.63,N#Cc1ccc(N2CCN([C@H]3C=C(c4cc5c(N)cc(F)cc5c(=O)[nH]4)CC3)CC2)c(F)c1,2.6
CHEMBL521686,OLAPARIB,434.47,0,2.35,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,2.81
CHEMBL521686,OLAPARIB,434.47,0,2.35,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,2.81
CHEMBL4083291,,479.43,0,2.49,O=C(Nc1cc(Cn2c(=O)[nH]c(=O)c3ccccc32)cnc1F)[C@H]1CCN(CCC(F)(F)F)C1,2.9
