,id,smiles
45392,A124_B006,CNC([C@H](CNC(c(cc1)cc(CCC2)c1NC2=O)=O)NC(CCC1CCCC1)=O)=O
51802,A141_B143,CNC([C@H](CNC(CN1N=C(C(N)=O)c(cccc2)c2C1=O)=O)NC(CNC(C=Cc1ccco1)=O)=O)=O
3254,A009_B303,Cc(ccc(C(NC[C@@H](C(NC)=O)NC(c(ccc(C)n1)c1O)=O)=O)c1)c1N(CCN1)C1=O
22403,A061_B264,CNC([C@H](CNC(c(cc1C(N2)=O)cnc1N(C1CC1)C2=O)=O)NC(c1ccc(C#Cc2ccccc2)o1)=O)=O
49206,A134_B130,CC(C(NC[C@@H](C(NC)=O)NC(CCc1nc(-c(cccc2)c2F)no1)=O)=O)SC(N1)=NC(C)=CC1=O
4766,A013_B339,CNC([C@H](CNC(c1cc(NC(C2CCCC2)=O)ccc1)=O)NC(C(C(N1C)=O)=CNC1=O)=O)=O
16235,A044_B369,CNC([C@H](CNC(COCC(N1)=Nc(cccc2)c2C1=O)=O)NC(c(cc1)ccc1OCc1ccccc1)=O)=O
19173,A052_B355,CCN(c(ccc(C(NC[C@@H](C(NC)=O)NC(CN(c(ccc(S(NC(OC(C)(C)C)=O)(=O)=O)c1)c1O1)C1=O)=O)=O)c1)c1NC1=O)C1=O
31213,A085_B218,Cc1c(C(N[C@@H](CNC(C(N2)=Cc(cccc3)c3C2=O)=O)C(NC)=O)=O)oc2c1ccc(C)c2
45416,A124_B030,CNC([C@H](CNC(c(cc1)cc(CCC2)c1NC2=O)=O)NC(CN(C)C(c1ccccc1)=O)=O)=O
44286,A121_B007,CC(NC(N1CCOCC1)=N1)=C(CCC(NC[C@@H](C(NC)=O)NC(CC2CCCCC2)=O)=O)C1=O
4309,A012_B251,CC(C)c1nc(C)c(C(N[C@@H](CNC(c2cc(NC(C3OCCC3)=O)c(C)cc2)=O)C(NC)=O)=O)s1
49232,A134_B156,CC(C(NC[C@@H](C(NC)=O)NC(COc(cc1)ccc1F)=O)=O)SC(N1)=NC(C)=CC1=O
37621,A102_B353,CNC([C@H](CNS(c(cc1)cc(NC2=O)c1NC2=O)(=O)=O)NC(c(cc1)cc(NC(CN2)=O)c1C2=O)=O)=O
10913,A030_B213,Cc(nc1)cnc1C(N[C@@H](CNC(CC(C(C)=NC1=C2)=C(C)N1NC2=O)=O)C(NC)=O)=O
24222,A066_B238,CC(C)(C(CC1)C2)C1(C(N[C@@H](CNC(C(N1)=CNC1=O)=O)C(NC)=O)=O)C2=O
41584,A113_B257,CNC([C@H](CNC(C1=CC(C(CCC2)=O)=C2NC1=O)=O)NC(c1n[nH]c(-c(cc2)ccc2OC)c1)=O)=O
14818,A041_B059,CNC([C@H](CNC(C(CC1)CCN1c(cc1)ncc1C(N)=O)=O)NC(Cc(c(F)ccc1)c1Cl)=O)=O
47582,A129_B351,CNC([C@H](CNC(CN(CCCN1)C1=O)=O)NC(CCC(c(cc1)ccc1-c1ccccc1)=O)=O)=O
42675,A116_B241,CC(C)CN(c1nc(C2CC2)cc(C(NC[C@@H](C(NC)=O)NC(C(CC(C2O)O)=CC2O)=O)=O)c1C(N1)=O)C1=O
37299,A102_B031,Cc(cc1)ccc1SCC(N[C@@H](CNS(c(cc1)cc(NC2=O)c1NC2=O)(=O)=O)C(NC)=O)=O
