,Smiles
367,O=C1(NCC(=O)NC2(=C1C=CC(=C2)C(=O)O))
368,S(C1(=NC=CC=C1C(=O)N))C2(=CC=C(C(O)=O)C=C2)
369,O=C(O)C1(CC1)(C)
370,OC(=O)C=1(N3(C(N=C(C=1)C=2(OC=CC=2))=C(C(=O)N)N=C3))
371,O=C(O)CCC1(=CC(OC)=CC(=C1)OC)
372,S2(C=1(N=CNC(C=1C(=C2C(O)=O)C)=O))
373,ClC1(=CC=C(CCC(=O)O)C=C1)
374,CC(C)(C)OC(N(CC1CCC(O)=O)c2c1cccc2)=O
375,O=C(O)CC=2(N=C(C1(=CC=CC=C1))OC=2C)
376,O=C1(OC=2(C=CC=CC=2(N1CCC(=O)O)))
377,O=C1(N(N=C(C)C2(=C1C=CC=C2))CC(=O)O)
378,O=C(O)C1(=CC=C(C)C=C1)
379,O=C(O)CC(O)C1(=CC=CC=C1)
380,OC(=O)C2(=CC=C(NC(=O)C1(CC=CCC1))C=C2)
381,[Br]C1(=CC(=C(OC)C=C1)CC(=O)O)
382,O=C(O)CC2(C1(=C(C=CC=C1)C3(=C2C=CC=C3)))
383,S(=O)(=O)(N)C=1(OC(C(O)=O)=CC=1)
384,O=C(O)C1(=CC(=CC=C1)C)
385,O=C(O)C1(=NN(C)C2(=C1C=CC=C2))
386,IC1(=CC=C(CCCC(=O)O)C=C1)
387,O=C(O)CC12(CC3(CC(C1)CC(C2)C3))
388,FC1(=C(C=CC(=C1)F)CC(=O)O)
389,FC1(=CC(F)=CC(=C1)C(=O)CCC(=O)O)
390,OC(=O)CN1(NC(=O)C=CC1=O)
391,O=C(O)C12(CC3(O)(CC(C1)CC(C2)C3))
392,ClC1(=CC(Cl)=CC(=C1)CCC(=O)O)
393,O=C(O)C1(=NC=CN1)
394,OC(=O)C2(=CC1(=C(NC(=O)CCC1)C=C2))
395,ClC=1(C([N+](=O)[O-])=NN(C=1C)CC(=O)O)
396,O=C(O)CC1(=CC(=C(OC)C=C1)C)
397,S(=O)(=O)(N)C1(=CC=C(C(O)=O)C=C1)
398,OC(=O)C=1(NC(=O)NC(C=1OC)=O)
399,O=C(O)CCC#C
400,O=C(O)C1(=NC=CC=C1C)
401,O=C(O)C1(N(C(=O)C)CC(C1)O)
402,OC(=O)C2(=CC=C(C(=O)NC1(=CC=CC=C1))C=C2)
403,OC(=O)CN1(C(=O)NC(C1=O)(C2(=CC=C(C)C=C2))C)
404,O=C(O)CCOC1(=CC=CC=C1)
405,O=C(O)C2(=CC=1(OCCOC=1C=C2))
406,OC(=O)CC1(N(CCC1)CC3(=NC2(=C(C=CC=C2)C(N3)=O)))
407,FC1(F)(OC=2(C=C(C(=O)O)C=CC=2(O1)))
408,OC(=O)C2(=NC=1(NNC(C=1C(=C2)C)=O))
409,OC(=O)C1(=CN=C2(N(C(=O)NC(C2(=C1))=O)CC3(=CC=CC=C3)))
410,OC(=O)C2(=CC=1(NC(=O)C(=O)NC=1C=C2))
411,O=[N+]([O-])C1(=C(OCC(=O)O)C=CC=C1)
412,O=C1(N(C(=O)C(C(=O)O)=CN1)C)
413,Cn1c(C(N)=O)cc(S(O)(=O)=O)c1
414,O=C(O)C2(=CC=1(C(=CC=CC=1)C=C2))
